elemen-elemen mesin dalam perancangan mekanis: perancang elemen mesin terpadu 2,mekanika fluida edisi delapan jilid 2,schaums outlines: mekanika fluida,sistem fluida : prinsip dasar dan penerapan mesin fluida sistem hidrolik dan sistem pneumatik,,,,,,,,,,,,,,,,,,,,
psikologi sosial,,,,,,,,,,,,,,,,,,,,,,,
genetika,,,,,,,,,,,,,,,,,,,,,,,
filsafat umum: akal dan hati sejak thales sampai capra (pengantar kepada filsafat untuk mahasiswa perguruan tinggi),mediasi; penyelesaian sengketa melalui pendekatan mufakat edisi kedua,,,,,,,,,,,,,,,,,,,,,,
30 menit bersama excel 2007,makroekonomi: teori pengantar edisi ketiga,pembangunan ekonomi edisi kesebelas jilid i,pengantar manajemen,statistika: untuk ekonomi dan keuangan modern edisi 3 buku 2,,,,,,,,,,,,,,,,,,,
logika filsafat berpikir,,,,,,,,,,,,,,,,,,,,,,,
fundamentals of engineering thermodynamics  sixth edition  si version,,,,,,,,,,,,,,,,,,,,,,,
copywriting: seni mengasah kreativitas dan memahami bahasa iklan,ideologi politik pks: dari masjid kampus ke gedung parlemen,introduction to sociology 10e,pengantar ilmu politik,politik indonesia: transisi menuju demokrasi,statistical reasoning,,,,,,,,,,,,,,,,,,
pengantar ilmu hukum,pokok-pokok sosiologi hukum,,,,,,,,,,,,,,,,,,,,,,
kisah para diktator: biografi politik para penguasa fasis komunis despotis dan tiran,mediasi: dalam presfektif hukum syariah hukum adat dan hukum nasional,post-traditional societies,tragic sense of life,,,,,,,,,,,,,,,,,,,,
epidemiologi penyakit tidak menularâ â,pengantar epidemiologi penyakit menular,,,,,,,,,,,,,,,,,,,,,,
kalkulus: edisi kedelapan jilid 1,,,,,,,,,,,,,,,,,,,,,,,
dasar-dasar ilmu tanah,,,,,,,,,,,,,,,,,,,,,,,
international relations : understanding global issues,,,,,,,,,,,,,,,,,,,,,,,
kimia dasar: konsep-konsep inti edisi ketiga jilid 1,kimia dasar: prinsip-prinsip & aplikasi modern edisi kesembilan jilid 1,kimia fisika,kimia fisika untuk paramedis,schaums outline : kimia untuk pemula edisi ketiga,,,,,,,,,,,,,,,,,,,
matematika ekonomi dan bisnis,teori soal-soal dan jawaban matematika ekonomi fungsi dan aplikasi,,,,,,,,,,,,,,,,,,,,,,
filsafat ilmu.,perempuan selalu ingat kumpulan sajak: dian rennuati,,,,,,,,,,,,,,,,,,,,,,
ayahku ( bukan ) pembohong,,,,,,,,,,,,,,,,,,,,,,,
genetika i struktur & ekspresi,,,,,,,,,,,,,,,,,,,,,,,
managerial economics: ekonomi manajerial dalam perekonomian global buku 1,,,,,,,,,,,,,,,,,,,,,,,
fisika dasar: elektisitas & magnetisme,fisika: untuk sains dan teknik; jilid 1,kalkulus edisi keempat jilid 1,,,,,,,,,,,,,,,,,,,,,
kalor dan termodinamika,transport phenomena,,,,,,,,,,,,,,,,,,,,,,
badan hukum,,,,,,,,,,,,,,,,,,,,,,,
kewirausahaan ( entrepreneurhip ); pendekatan manajemen dan praktik,,,,,,,,,,,,,,,,,,,,,,,
kalor dan termodinamika,kimia organik,kimia organik edisi ketiga jilid 2,,,,,,,,,,,,,,,,,,,,,
managerial economics ekonomi manajerial dalam perekonomian global buku 1 edisi kelima,manajemen koperasi indonesia,manajemen perpajakan,perencanaan & pembangunan sistem informasi,,,,,,,,,,,,,,,,,,,,
termodinamika: azas dasar dan terapan kimia,,,,,,,,,,,,,,,,,,,,,,,
analisis dan evaluasi hukum tentang perjanjian ekstradisi,analisis dan evaluasi hukum tentang perjanjian internasional di bidang kewilayahan,analisis dan evaluasi hukum tentang ratifikasi perjanjian-perjanjian internasional di bidang ham dan urgensinya bagi indonesia,aneka perkara indonesia di luar negeri,aspek hukum yurisdiksi kriminal di luar batas teritorial,ekstradisi & bantuan timbal balik dalam masalah pidana: instrumen penegakan hukum pidana internasional,forum dialog ix tentang âkerjasama asean + 3: harapan dan tantanganâ bandung 24 â 28 juli 2002,hukum organisasi internasional,penelitian hukum,pengantar hukum humaniter,pengantar hukum pidana internasional,pengkajian hukum tentang kriminalisasi pengembalian aset kerjasama internasional dalam konvensi pbb,penjelasan hukum tentang kebatalan perjanjian,ratifikasi konvensi perserikatan bangsa-bangsa tentang penghapusan segala bentuk diskriminasi terhadap wanita dan undang-undang hak-hak asasi manusia,,,,,,,,,,
geologi dasar,geologi minyak dan gas bumi: untuk geologist pemula,geologi umum: bagian kedua,the star thief,,,,,,,,,,,,,,,,,,,,
kimia organik jilid 1,kimia untuk universitas edisi keenam jilid 2,,,,,,,,,,,,,,,,,,,,,,
pengantar manajemen (edisi pertama),,,,,,,,,,,,,,,,,,,,,,,
pengantar bisnis edisi kesepuluh,pengantar etika bisnis,,,,,,,,,,,,,,,,,,,,,,
hukum administrasi negara,hukum tata negara indonesia edisi revisi,konsep dan model pendidikan karakter,latihan ujian hukum tata negara untuk perguruan tinggi,perpajakan edisi revisi 2001 buku 1,perpajakan umum,,,,,,,,,,,,,,,,,,
hubungan interpersonal,keunggulan dan kelebihan anak anda; temukan kembangkan dan pergunakan keunggulan dan kelebihan anak anda,,,,,,,,,,,,,,,,,,,,,,
women and values : readings in recent feminist philosophy,,,,,,,,,,,,,,,,,,,,,,,
life-span development = perkembangan masa-hidup edisi ketigabelas jilid 1,,,,,,,,,,,,,,,,,,,,,,,
sistem politik indonesia,,,,,,,,,,,,,,,,,,,,,,,
dasar- dasar hukum perburuhan,,,,,,,,,,,,,,,,,,,,,,,
hukum harta kekayaan,pengantar hukum indonesia edisi revisi,,,,,,,,,,,,,,,,,,,,,,
fisika: prinsip dan aplikasi edisi ketujuh jilid 1,,,,,,,,,,,,,,,,,,,,,,,
metode penelitian sosial: berbagai alternatif pendekatan,,,,,,,,,,,,,,,,,,,,,,,
filsafat politik: plato aristoteles augustinus machiavelli,,,,,,,,,,,,,,,,,,,,,,,
diplomasi indonesia 2013,ramona forever,statistik untuk pemimpin berwawasan global,the kid who ran for president,,,,,,,,,,,,,,,,,,,,
asas-asas hukum pidana edisi revisi,,,,,,,,,,,,,,,,,,,,,,,
fisika edisi kelima jilid 1,,,,,,,,,,,,,,,,,,,,,,,
mikrobiologi farmasi,,,,,,,,,,,,,,,,,,,,,,,
dasar-dasar ilmu hukum,filsafat ilmu pengetahuan: filsafat ilmu pengetahuan dan peradaban edisi kedua,pengantar filsafat,pengantar ilmu hukum,,,,,,,,,,,,,,,,,,,,
sears and zemansky: fisika universitas edisi kesepuluh jilid 1,,,,,,,,,,,,,,,,,,,,,,,
analisis kebutuhan transportasi,kalkulus: edisi kedelapan jilid 1,kebakaran & perencanaan bangunan,konsep dasar & teknik: supervisi pendidikan dalam rangka pengembangan sumber daya manusia,manajemen perusahaan pelayaran: suatu pendekatan praktis dalam bidang usaha pelayaran,panduan manajemen perilaku siswa,perancangan aksesibilitas untuk fasilitas publik,si dasar dasar transportasi,,,,,,,,,,,,,,,,
m. e. and morton,penjahit dari khair khana,tears of salt: a doctors story,towards the end of the morning,,,,,,,,,,,,,,,,,,,,
biologi laut: ilmu pengetahuan tentang biota laut,budidaya udang windu,marikultur : prinsip & praktik budi daya laut,,,,,,,,,,,,,,,,,,,,,
